"target.row"	"dist.to.feature"	"feature.name"	"feature.strand"	"qvalue"	"pvalue"
"303"	798	-230126	"ENSRNOT00000063617.1"	"+"	3.72826803494982e-07	1.19709087517384e-09
"503"	799	-30613	"ENSRNOT00000086465.1"	"-"	3.87847907888407e-07	1.24678992489271e-09
"3805"	800	26455	"ENSRNOT00000054080.1"	"+"	3.90960813608491e-07	1.25827711032063e-09
"5019"	801	43579	"ENSRNOT00000033148.3"	"-"	4.0231997205479e-07	1.3005258560068e-09
"2206.4"	802	2829	"ENSRNOT00000090976.1"	"-"	4.04754337047956e-07	1.31033326524573e-09
"5061"	803	-12060	"ENSRNOT00000031656.2"	"+"	4.09785499735999e-07	1.32963318331601e-09
"1759"	804	-496638	"ENSRNOT00000086107.1"	"+"	4.10532955177288e-07	1.33370400122286e-09
"1341"	805	37942	"ENSRNOT00000072255.1"	"-"	4.54617137455552e-07	1.48126340344432e-09
"2002"	806	3173	"ENSRNOT00000013530.5"	"+"	4.54617137455552e-07	1.48208494346854e-09
"200"	807	21419	"ENSRNOT00000070958.1"	"+"	4.71255697016552e-07	1.53989656399076e-09
"2130.2"	808	3129	"ENSRNOT00000083547.1"	"-"	4.76503595649323e-07	1.5588490598615e-09
"11821"	809	21505	"ENSRNOT00000088106.1"	"-"	4.90473770395918e-07	1.60807957771806e-09
"1042.11"	810	5387	"ENSRNOT00000021819.3"	"+"	4.95730404882811e-07	1.62925635056695e-09
"8941"	811	-17114	"ENSRNOT00000086585.1"	"+"	4.98659929460587e-07	1.64077257560602e-09
"1087"	812	-1109	"ENSRNOT00000001610.7"	"-"	5.04343778716184e-07	1.66138414433407e-09
"1385"	813	22515	"ENSRNOT00000078019.1"	"-"	5.11660375195275e-07	1.68742345222706e-09
"1041"	814	-3547	"ENSRNOT00000009139.6"	"-"	5.4961288464199e-07	1.81883154915942e-09
"974"	815	18894	"ENSRNOT00000089282.1"	"+"	5.50885109818394e-07	1.82512757853949e-09
"444"	816	-11545	"ENSRNOT00000060549.2"	"+"	5.5283594926697e-07	1.83577736314949e-09
"1177"	817	37345	"ENSRNOT00000031175.4"	"+"	5.88398289109817e-07	1.95609551781029e-09
"2803"	818	-27093	"ENSRNOT00000091217.1"	"+"	6.04638004335059e-07	2.01237288522544e-09
"1082"	819	26125	"ENSRNOT00000016068.5"	"-"	6.21336809826128e-07	2.0703029272673e-09
"2800"	820	9914	"ENSRNOT00000088675.1"	"-"	6.21353997144193e-07	2.07271287769162e-09
"4332"	821	-5077	"ENSRNOT00000092426.1"	"-"	6.23286758842605e-07	2.0815201850407e-09
"2683"	822	177566	"ENSRNOT00000061136.2"	"-"	6.26647015081671e-07	2.09511477558089e-09
"21221"	823	-80037	"ENSRNOT00000085329.1"	"-"	6.35095497699604e-07	2.12817063028382e-09
"1138"	824	153116	"ENSRNOT00000082291.1"	"-"	6.54049788412279e-07	2.19416191303783e-09
"342.1"	825	-16870	"ENSRNOT00000074791.2"	"+"	6.84981916979068e-07	2.30052452354564e-09
"1337.1"	826	-24279	"ENSRNOT00000084521.1"	"-"	7.32606252161284e-07	2.46324566538919e-09
"893"	827	-52619	"ENSRNOT00000001279.4"	"-"	7.43545834633031e-07	2.50284322495228e-09
"2781"	828	22921	"ENSRNOT00000077348.1"	"+"	7.60770938808008e-07	2.56370506713475e-09
"2786.1"	829	-10885	"ENSRNOT00000075012.2"	"-"	7.62281333536315e-07	2.57168119915729e-09
"106"	830	26881	"ENSRNOT00000064298.1"	"+"	8.24898819873879e-07	2.78605494730536e-09
"1252"	831	12329	"ENSRNOT00000015316.6"	"-"	8.45855706725763e-07	2.86003852639252e-09
"1056.1"	832	-38816	"ENSRNOT00000080357.1"	"-"	8.56553397911782e-07	2.90269642702213e-09
"894"	833	-45993	"ENSRNOT00000087981.1"	"+"	8.74960502048768e-07	2.96838753180163e-09
"1703"	834	-13603	"ENSRNOT00000019101.5"	"+"	8.76652194583897e-07	2.97744609909528e-09
"825"	835	3763	"ENSRNOT00000077520.1"	"-"	9.03141622235495e-07	3.07083396232415e-09
"1735.1"	836	-8163	"ENSRNOT00000063432.1"	"-"	9.17711490197345e-07	3.1238487767089e-09
"1096"	837	-4305	"ENSRNOT00000014909.7"	"+"	9.55167060453605e-07	3.25496248391760e-09
"3851"	838	1265	"ENSRNOT00000042119.3"	"-"	1.00242592680572e-06	3.41980405161513e-09
"505.1"	839	-205741	"ENSRNOT00000083726.1"	"+"	1.04719606324859e-06	3.57650370443586e-09
"216"	840	10151	"ENSRNOT00000048306.5"	"+"	1.04733317541626e-06	3.58093758645567e-09
"1645"	841	24079	"ENSRNOT00000075529.1"	"+"	1.0594353287869e-06	3.62632749165523e-09
"2808"	842	-5957	"ENSRNOT00000005839.5"	"-"	1.08414530404577e-06	3.71911691766531e-09
"1"	843	-61133	"ENSRNOT00000085869.1"	"-"	1.10797834523759e-06	3.80926566114825e-09
"472"	844	11123	"ENSRNOT00000066120.3"	"-"	1.10930164920452e-06	3.81801546034453e-09
"1416"	845	23725	"ENSRNOT00000086556.1"	"-"	1.1533383079251e-06	3.97831562079498e-09
"3911"	846	38503	"ENSRNOT00000072221.1"	"-"	1.19084367472899e-06	4.11670429503290e-09
"587.1"	847	126433	"ENSRNOT00000011720.5"	"+"	1.22174905962749e-06	4.22816911873443e-09
"2085"	848	-7240	"ENSRNOT00000009549.2"	"+"	1.22679335036454e-06	4.2502712574812e-09
"1985.3"	849	-23611	"ENSRNOT00000030502.5"	"-"	1.22930286567443e-06	4.26362017392256e-09
"4071"	850	1018	"ENSRNOT00000085817.1"	"+"	1.32609231409789e-06	4.60935948226822e-09
"527"	851	1239	"ENSRNOT00000009908.5"	"+"	1.34855471567538e-06	4.69254260267321e-09
"471"	852	13583	"ENSRNOT00000084382.1"	"+"	1.38510148690627e-06	4.82495829254872e-09
"147"	853	33987	"ENSRNOT00000084236.1"	"+"	1.38856480943981e-06	4.8422803030707e-09
"2663"	854	6145	"ENSRNOT00000062502.1"	"-"	1.39943564425981e-06	4.88548847629729e-09
"599"	855	203422	"ENSRNOT00000083751.1"	"+"	1.40462468493646e-06	4.90892207686201e-09
"2584"	856	10027	"ENSRNOT00000004349.4"	"-"	1.41333318885057e-06	4.94470821847038e-09
"1358"	857	4019	"ENSRNOT00000015010.5"	"-"	1.41510220631631e-06	4.95625544290777e-09
"910"	858	159467	"ENSRNOT00000078501.1"	"-"	1.47289680312831e-06	5.16425224531291e-09
"908"	859	-23370	"ENSRNOT00000016826.5"	"+"	1.50794108115679e-06	5.29553980824569e-09
"219.1"	860	58491	"ENSRNOT00000076716.1"	"-"	1.54055363029498e-06	5.4189691238291e-09
"407"	861	-9228	"ENSRNOT00000002718.3"	"-"	1.56892082109793e-06	5.52469256791787e-09
"2511"	862	-106081	"ENSRNOT00000090918.1"	"-"	1.57747906123434e-06	5.56080191520842e-09
"1662"	863	18604	"ENSRNOT00000009965.4"	"-"	1.58863479071543e-06	5.60614236694122e-09
"2851"	864	93800	"ENSRNOT00000090602.1"	"-"	1.59619879562675e-06	5.63887884138840e-09
"2130.3"	865	3128	"ENSRNOT00000083547.1"	"-"	1.63343858177864e-06	5.77662035731045e-09
"280"	866	-49464	"ENSRNOT00000091733.1"	"-"	1.64028835104093e-06	5.80705517294609e-09
"173"	867	198171	"ENSRNOT00000004006.7"	"-"	1.66914756127535e-06	5.91554444630181e-09
"5013"	868	-86113	"ENSRNOT00000016052.5"	"+"	1.67606107355074e-06	5.94639249119589e-09
"1427.1"	869	-29960	"ENSRNOT00000026419.6"	"-"	1.68426148218818e-06	5.98186346242679e-09
"646.2"	870	-33851	"ENSRNOT00000061569.4"	"-"	1.71836642857092e-06	6.10949779513696e-09
"1266"	871	-27064	"ENSRNOT00000085645.1"	"+"	1.71952452088806e-06	6.12012606095955e-09
"1934.1"	872	-7027	"ENSRNOT00000027579.4"	"-"	1.78334076345831e-06	6.36751783792751e-09
"1159"	873	-109666	"ENSRNOT00000085608.1"	"-"	1.81602252930031e-06	6.49108605940699e-09
"4569"	874	-28371	"ENSRNOT00000087890.1"	"+"	1.94323093123996e-06	6.95313023520626e-09
"741.1"	875	35216	"ENSRNOT00000001957.7"	"-"	1.96908881927909e-06	7.06056451988277e-09
"1980.1"	876	-901	"ENSRNOT00000014585.7"	"+"	1.96908881927909e-06	7.05661603559719e-09
"587.2"	877	126349	"ENSRNOT00000011720.5"	"+"	2.08616836378446e-06	7.4961748558437e-09
"146.1"	878	-19389	"ENSRNOT00000001334.6"	"+"	2.11578141310183e-06	7.61059381186367e-09
"8411"	879	23200	"ENSRNOT00000013507.4"	"+"	2.11811832197464e-06	7.62701981433778e-09
"1293"	880	-53602	"ENSRNOT00000093725.1"	"+"	2.12570713394806e-06	7.66239469840844e-09
"6901"	881	-449	"ENSRNOT00000092190.1"	"+"	2.19170848035434e-06	7.90860398887779e-09
"2162"	882	21277	"ENSRNOT00000087160.1"	"+"	2.24939007641976e-06	8.15039581091589e-09
"4312"	883	-1231	"ENSRNOT00000092129.1"	"+"	2.30032019977328e-06	8.3440700797996e-09
"827"	884	410619	"ENSRNOT00000049245.5"	"-"	2.3093197974025e-06	8.39420270666219e-09
"923"	885	41583	"ENSRNOT00000083403.1"	"+"	2.44897962571432e-06	8.92040114640024e-09
"3311"	886	65758	"ENSRNOT00000061229.3"	"+"	2.47459303623746e-06	9.02306766790923e-09
"157"	887	19281	"ENSRNOT00000014924.3"	"+"	2.53707668574086e-06	9.26050710102450e-09
"943"	888	-6101	"ENSRNOT00000092641.1"	"-"	2.54443223480379e-06	9.29698955490804e-09
"2280"	889	-911	"ENSRNOT00000021487.5"	"-"	2.58514749539914e-06	9.45554561269726e-09
"425"	890	-107520	"ENSRNOT00000091031.1"	"-"	2.60276841782776e-06	9.52985171826112e-09
"151"	891	28415	"ENSRNOT00000022144.5"	"+"	2.66169582649584e-06	9.75568843071551e-09
"4903.6"	892	-37921	"ENSRNOT00000087307.1"	"-"	2.73482086563859e-06	1.00340625171635e-08
"2130.4"	893	42941	"ENSRNOT00000083547.1"	"-"	2.87250102654378e-06	1.05609640252498e-08
"2387"	894	2007	"ENSRNOT00000070994.2"	"-"	2.91960003200593e-06	1.07451817414304e-08
"389"	895	8841	"ENSRNOT00000081807.1"	"+"	2.98681369976396e-06	1.10038615049911e-08
"472.1"	896	73500	"ENSRNOT00000066120.3"	"-"	3.10225528486416e-06	1.14526579359708e-08
"738"	897	77679	"ENSRNOT00000089148.1"	"+"	3.11406791501159e-06	1.15080579020834e-08
"86"	898	50844	"ENSRNOT00000084134.1"	"-"	3.16364137208746e-06	1.17032356767064e-08
"658"	899	-21803	"ENSRNOT00000027681.6"	"+"	3.24127489163695e-06	1.20026974916488e-08
"4685"	900	139340	"ENSRNOT00000080607.1"	"-"	3.25272965746021e-06	1.20574314651235e-08
"417.7"	901	-36	"ENSRNOT00000086113.1"	"-"	3.28441902510357e-06	1.21873357467824e-08
"930"	902	2253	"ENSRNOT00000007365.7"	"+"	3.3217008911305e-06	1.23634074349022e-08
"383"	903	21551	"ENSRNOT00000080379.1"	"+"	3.39931235692437e-06	1.26780203417877e-08
"2817.1"	904	105905	"ENSRNOT00000087924.1"	"-"	3.43673681356514e-06	1.28306107793233e-08
"16701"	905	-14638	"ENSRNOT00000045329.3"	"+"	3.48326782569639e-06	1.30175172469499e-08
"1427.2"	906	121619	"ENSRNOT00000026419.6"	"-"	3.51233051814354e-06	1.31394280953205e-08
"484"	907	-9110	"ENSRNOT00000092292.1"	"-"	3.63330038375402e-06	1.36194835696461e-08
"791"	908	6634	"ENSRNOT00000013286.5"	"-"	3.88612618917376e-06	1.46113481189708e-08
"327.1"	909	-247293	"ENSRNOT00000081845.1"	"+"	3.90605288662922e-06	1.47010598061563e-08
"4898"	910	-738	"ENSRNOT00000054714.2"	"+"	3.94373829619748e-06	1.48578274108914e-08
"1989"	911	29041	"ENSRNOT00000089661.1"	"-"	4.07937585909319e-06	1.53842808879368e-08
"1204"	912	71711	"ENSRNOT00000093480.1"	"+"	4.11445351800406e-06	1.55321458299037e-08
"520.1"	913	-51729	"ENSRNOT00000045460.2"	"-"	4.28263793966993e-06	1.62156925246934e-08
"107"	914	82048	"ENSRNOT00000005559.6"	"+"	4.49125619709951e-06	1.70226060195389e-08
"2521.1"	915	9015	"ENSRNOT00000085367.1"	"+"	4.6047781198442e-06	1.74703083758389e-08
"1422"	916	6066	"ENSRNOT00000086903.1"	"-"	4.68409960708463e-06	1.78067218694964e-08
"2603"	917	-49057	"ENSRNOT00000005367.5"	"-"	4.74941636284353e-06	1.80730082437559e-08
"9682"	918	5557	"ENSRNOT00000079107.1"	"+"	4.82572256362613e-06	1.83816491167383e-08
"1076"	919	-20952	"ENSRNOT00000031432.5"	"-"	4.96949234709541e-06	1.89480986641379e-08
"42"	920	899638	"ENSRNOT00000050774.2"	"-"	5.04780322131679e-06	1.92658018548458e-08
"704"	921	-94904	"ENSRNOT00000021982.5"	"+"	5.093289737792e-06	1.94586940301983e-08
"892"	922	-70087	"ENSRNOT00000084502.1"	"-"	5.28346298866337e-06	2.02052479386874e-08
"872.1"	923	154169	"ENSRNOT00000034654.4"	"+"	5.32103910993607e-06	2.03690956421638e-08
"136"	924	223050	"ENSRNOT00000034692.2"	"-"	5.46860407047457e-06	2.09753911116112e-08
"1876"	925	-1147	"ENSRNOT00000018101.7"	"-"	5.49471875694563e-06	2.10963617572283e-08
"2550"	926	-24936	"ENSRNOT00000027445.7"	"+"	5.63739109404866e-06	2.16654816351407e-08
"1628"	927	1477	"ENSRNOT00000016843.5"	"-"	5.79623088387696e-06	2.22978775057229e-08
"782"	928	4124	"ENSRNOT00000037432.5"	"+"	5.93439623340329e-06	2.28518641729958e-08
"374"	929	104495	"ENSRNOT00000086171.1"	"+"	5.93491106295736e-06	2.28763184774658e-08
"965"	930	-30161	"ENSRNOT00000058382.4"	"-"	5.93904811368509e-06	2.2914752371609e-08
"630.1"	931	-3980	"ENSRNOT00000089464.1"	"-"	6.05687481553688e-06	2.33922992029562e-08
"251"	932	130798	"ENSRNOT00000042227.4"	"-"	6.32283912051811e-06	2.44434225008949e-08
"1142"	933	-36217	"ENSRNOT00000069012.1"	"+"	6.45389881466116e-06	2.49745222275503e-08
"1526"	934	-162788	"ENSRNOT00000087433.1"	"-"	6.50397375354617e-06	2.51929227227058e-08
"1173"	935	7012	"ENSRNOT00000058327.3"	"+"	6.60503940114463e-06	2.56344154677639e-08
"377"	936	22640	"ENSRNOT00000086629.1"	"+"	6.95046786400644e-06	2.70539881287312e-08
"9532"	937	17842	"ENSRNOT00000032359.4"	"+"	6.95456214822211e-06	2.70962573245517e-08
"2304.1"	938	190	"ENSRNOT00000012845.6"	"-"	7.07972884292199e-06	2.76375429421602e-08
"148.1"	939	57396	"ENSRNOT00000032739.5"	"+"	7.19897222144024e-06	2.81671769338208e-08
"101"	940	-976360	"ENSRNOT00000047108.5"	"+"	7.19897222144024e-06	2.81491722911508e-08
"84"	941	4208	"ENSRNOT00000093697.1"	"-"	7.19897222144024e-06	2.81848142706254e-08
"102"	942	3973	"ENSRNOT00000061169.4"	"+"	7.20131687442401e-06	2.82212607786218e-08
"424"	943	1295	"ENSRNOT00000089633.1"	"+"	7.35619296109813e-06	2.88560584447974e-08
"986.1"	944	217250	"ENSRNOT00000008329.7"	"+"	7.37957541478239e-06	2.8975722415692e-08
"644"	945	16837	"ENSRNOT00000077918.1"	"-"	7.41825444899868e-06	2.9155683024349e-08
"1954"	946	-148696	"ENSRNOT00000079868.1"	"+"	7.47911868916369e-06	2.94232142118989e-08
"477"	947	-19635	"ENSRNOT00000006796.4"	"-"	7.53458270887251e-06	2.96984699238006e-08
"1098"	948	6237	"ENSRNOT00000077818.1"	"+"	7.60254192988218e-06	2.99951255298698e-08
"13051"	949	60848	"ENSRNOT00000077351.1"	"-"	8.06946713296049e-06	3.18678897672521e-08
"2802"	950	88581	"ENSRNOT00000085438.1"	"+"	8.13026309018038e-06	3.213876904759e-08
"1235"	951	6624	"ENSRNOT00000085011.1"	"-"	8.24854678379063e-06	3.26688064038561e-08
"2538.1"	952	1064	"ENSRNOT00000073795.1"	"+"	8.58950016811766e-06	3.40842165551506e-08
"964"	953	11808	"ENSRNOT00000024532.3"	"-"	8.71070719661337e-06	3.45981633258049e-08
"873"	954	-6187	"ENSRNOT00000085709.1"	"-"	8.90355564913859e-06	3.53978526687591e-08
"10641"	955	11743	"ENSRNOT00000075545.3"	"+"	8.95763371431877e-06	3.56467677510598e-08
"1632"	956	10302	"ENSRNOT00000059078.1"	"+"	9.09911118564715e-06	3.624422789441e-08
"105"	957	11229	"ENSRNOT00000005273.7"	"-"	9.13540255253396e-06	3.64233763533872e-08
"838"	958	18939	"ENSRNOT00000060691.3"	"+"	9.29485948414093e-06	3.70943341929755e-08
"12061"	959	34228	"ENSRNOT00000063930.2"	"+"	9.32112863077101e-06	3.72344635895772e-08
"2304.2"	960	154	"ENSRNOT00000012845.6"	"-"	9.35324332947483e-06	3.73981648694668e-08
"2538.2"	961	880	"ENSRNOT00000073795.1"	"+"	9.47111550382269e-06	3.79053281843105e-08
"1581"	962	23615	"ENSRNOT00000032620.6"	"-"	9.52721297972404e-06	3.81659153223365e-08
"644.1"	963	16838	"ENSRNOT00000077918.1"	"-"	9.5957659172981e-06	3.85132040944326e-08
"5017"	964	20726	"ENSRNOT00000079712.1"	"-"	9.77306451472714e-06	3.92988121190222e-08
"1450"	965	35663	"ENSRNOT00000042248.1"	"+"	1.00941911153059e-05	4.06283259816293e-08
"1159.1"	966	-109624	"ENSRNOT00000085608.1"	"-"	1.01443957807416e-05	4.08688063469281e-08
"374.1"	967	104369	"ENSRNOT00000086171.1"	"+"	1.03988250036071e-05	4.19332012379746e-08
"247"	968	-9159	"ENSRNOT00000036705.5"	"+"	1.0589174650836e-05	4.27408797152264e-08
"811"	969	15868	"ENSRNOT00000050364.3"	"+"	1.13546196605918e-05	4.59164163208291e-08
"254"	970	89	"ENSRNOT00000015327.6"	"+"	1.14219501904039e-05	4.62319389449227e-08
"272"	971	36041	"ENSRNOT00000079903.1"	"+"	1.16951206597036e-05	4.73819167441851e-08
"164"	972	-8955	"ENSRNOT00000003447.3"	"+"	1.18183649952193e-05	4.79259808732039e-08
"341"	973	113659	"ENSRNOT00000032663.2"	"-"	1.20259701119955e-05	4.88133986143097e-08
"842"	974	79189	"ENSRNOT00000083103.1"	"-"	1.21329237492667e-05	4.92934631566862e-08
"781"	975	44165	"ENSRNOT00000033489.5"	"+"	1.27099074102066e-05	5.17338729063563e-08
"4192"	976	33858	"ENSRNOT00000016983.7"	"-"	1.28373827299647e-05	5.23499574956727e-08
"206.1"	977	-4468	"ENSRNOT00000078356.1"	"-"	1.3204504466294e-05	5.38970517700897e-08
"965.1"	978	-30160	"ENSRNOT00000058382.4"	"-"	1.34867012030343e-05	5.51510305560609e-08
"646.3"	979	-33848	"ENSRNOT00000061569.4"	"-"	1.34867012030343e-05	5.51070164324341e-08
"1265"	980	22549	"ENSRNOT00000069104.1"	"-"	1.3570865545809e-05	5.55465873972283e-08
"2538.3"	981	1067	"ENSRNOT00000073795.1"	"+"	1.36455117406427e-05	5.59554541361202e-08
"813"	982	20124	"ENSRNOT00000069567.1"	"-"	1.37717020312643e-05	5.65250611160726e-08
"625"	983	-2550	"ENSRNOT00000084826.1"	"+"	1.37718293443123e-05	5.66298744090196e-08
"2123.2"	984	-54614	"ENSRNOT00000074793.2"	"-"	1.3856179097826e-05	5.70291860348972e-08
"82"	985	34545	"ENSRNOT00000019267.6"	"+"	1.41907017522406e-05	5.8459743925905e-08
"616"	986	48808	"ENSRNOT00000045753.2"	"-"	1.42976374540243e-05	5.89544104821601e-08
"1797"	987	-903	"ENSRNOT00000029825.4"	"+"	1.44874881216627e-05	5.97920896416023e-08
"671.1"	988	-102776	"ENSRNOT00000069841.1"	"-"	1.51183071312324e-05	6.24528202747268e-08
"5871"	989	-14110	"ENSRNOT00000087991.1"	"+"	1.53712106078191e-05	6.36139518462132e-08
"411.1"	990	119961	"ENSRNOT00000080973.1"	"+"	1.54970172458425e-05	6.41932818164486e-08
"13161"	991	175926	"ENSRNOT00000082854.1"	"-"	1.65840069630949e-05	6.88215051181201e-08
"4401"	992	36399	"ENSRNOT00000085375.1"	"-"	1.671024231258e-05	6.94086369715758e-08
"3133.2"	993	34170	"ENSRNOT00000086091.1"	"-"	1.67703148800698e-05	6.97216566677569e-08
"229"	994	148	"ENSRNOT00000065722.3"	"-"	1.68067749390793e-05	6.99368741749284e-08
"1104"	995	73248	"ENSRNOT00000008222.4"	"-"	1.75783572438438e-05	7.32807231029361e-08
"1532"	996	-12290	"ENSRNOT00000093165.1"	"+"	1.77793687600105e-05	7.41860201200417e-08
"2549"	997	47142	"ENSRNOT00000027369.6"	"+"	1.81919717925463e-05	7.59765252055146e-08
"352"	998	394	"ENSRNOT00000080710.1"	"+"	1.85325079239465e-05	7.75390745507196e-08
"528"	999	9022	"ENSRNOT00000087794.1"	"+"	1.92661275926173e-05	8.07543998306499e-08
"2816"	1000	31648	"ENSRNOT00000066736.3"	"+"	1.9374539150735e-05	8.12821686317437e-08
"1042.1"	1001	36704	"ENSRNOT00000087108.1"	"-"	1.94118624319318e-05	8.15122519883836e-08
"209"	1002	73483	"ENSRNOT00000010018.4"	"+"	1.99620902899255e-05	8.38982950147233e-08
"1072"	1003	-3331	"ENSRNOT00000083597.1"	"+"	1.99777451069012e-05	8.40397336761227e-08
"2391"	1004	-1674	"ENSRNOT00000085138.1"	"+"	2.05408428360592e-05	8.648627409265e-08
"1928.1"	1005	-47683	"ENSRNOT00000016776.2"	"-"	2.06361702382119e-05	8.69657821073932e-08
"25.1"	1006	130661	"ENSRNOT00000042227.4"	"-"	2.06680557285444e-05	8.71784123312302e-08
"1621"	1007	20261	"ENSRNOT00000001752.5"	"-"	2.06978345805226e-05	8.73823901826976e-08
"13211"	1008	-1335	"ENSRNOT00000075208.1"	"-"	2.11529595504687e-05	8.94897914158464e-08
"1056.2"	1009	-38759	"ENSRNOT00000080357.1"	"-"	2.11529595504687e-05	8.95441221627147e-08
"644.2"	1010	895	"ENSRNOT00000077918.1"	"-"	2.12039146763254e-05	8.98401100573548e-08
"438"	1011	-8353	"ENSRNOT00000086759.1"	"-"	2.12825677536927e-05	9.02539437735439e-08
"2476"	1012	6442	"ENSRNOT00000065373.2"	"+"	2.16234449064609e-05	9.20270151450724e-08
"934"	1013	17328	"ENSRNOT00000044896.3"	"-"	2.16234449064609e-05	9.19526148673622e-08
"12661"	1014	-246613	"ENSRNOT00000006992.6"	"+"	2.20151440031312e-05	9.38607590147694e-08
"200.1"	1015	50096	"ENSRNOT00000070958.1"	"+"	2.20571771454502e-05	9.41234826189046e-08
"832"	1016	-9208	"ENSRNOT00000021271.6"	"-"	2.25665081460451e-05	9.64678159077433e-08
"1669"	1017	2316	"ENSRNOT00000022349.4"	"+"	2.26687804533112e-05	9.69908444697932e-08
"5401"	1018	3836	"ENSRNOT00000003921.4"	"-"	2.27111407998548e-05	9.73135625063778e-08
"807"	1019	51646	"ENSRNOT00000077062.1"	"-"	2.27111407998548e-05	9.73440738191834e-08
"911"	1020	15795	"ENSRNOT00000001338.3"	"-"	2.27863804173613e-05	9.77528423671761e-08
"2276.1"	1021	-746202	"ENSRNOT00000006454.6"	"-"	2.29270530530769e-05	9.84431339938413e-08
"1189"	1022	1860	"ENSRNOT00000041165.3"	"+"	2.33600894453317e-05	1.00479386218695e-07
"1193"	1023	-75817	"ENSRNOT00000080286.1"	"+"	2.36050666084834e-05	1.0171186861481e-07
"1648"	1024	5216	"ENSRNOT00000019759.6"	"-"	2.36769612220139e-05	1.02111305266962e-07
"425.1"	1025	-107521	"ENSRNOT00000091031.1"	"-"	2.37760464900069e-05	1.02628654075649e-07
"1781"	1026	-57114	"ENSRNOT00000011714.8"	"-"	2.3810463272116e-05	1.02867368624008e-07
"145.1"	1027	-28091	"ENSRNOT00000082859.1"	"-"	2.46626719264918e-05	1.06735895217571e-07
"2391.1"	1028	-1626	"ENSRNOT00000085138.1"	"+"	2.61204005636963e-05	1.13242503031601e-07
"229.1"	1029	185	"ENSRNOT00000065722.3"	"-"	2.65517102706544e-05	1.15212939942278e-07
"1064"	1030	230458	"ENSRNOT00000090901.1"	"+"	2.67786211458586e-05	1.16298943572415e-07
"949"	1031	-17570	"ENSRNOT00000084101.1"	"-"	2.70069515179806e-05	1.17392835761564e-07
"1106"	1032	-55540	"ENSRNOT00000031986.5"	"+"	2.73961184441396e-05	1.19188184520115e-07
"2309"	1033	26513	"ENSRNOT00000033396.3"	"-"	2.79715811206323e-05	1.21797674718715e-07
"207"	1034	131156	"ENSRNOT00000044348.2"	"-"	2.81301496050583e-05	1.22594646669284e-07
"1918"	1035	27750	"ENSRNOT00000079398.1"	"-"	2.85542492342547e-05	1.24767276609697e-07
"398"	1036	-9514	"ENSRNOT00000083956.1"	"-"	2.85542492342547e-05	1.24728203922112e-07
"87"	1037	-44276	"ENSRNOT00000068134.3"	"-"	2.94223493519782e-05	1.29006041126793e-07
"699"	1038	-1351	"ENSRNOT00000071303.1"	"-"	3.0937288731793e-05	1.36117047207165e-07
"654"	1039	-5148	"ENSRNOT00000000510.5"	"+"	3.18214642070114e-05	1.40248194857308e-07
"3791"	1040	32911	"ENSRNOT00000063828.2"	"+"	3.26286763470188e-05	1.44052946950329e-07
"854"	1041	17672	"ENSRNOT00000068496.4"	"-"	3.31304530369328e-05	1.46393694611663e-07
"2034"	1042	-6607	"ENSRNOT00000017559.5"	"-"	3.3448007577677e-05	1.47923521261877e-07
"10731"	1043	-51237	"ENSRNOT00000078942.1"	"-"	3.37224003144594e-05	1.49264706548234e-07
"449"	1044	-77106	"ENSRNOT00000052658.1"	"-"	3.43826131593867e-05	1.52317177524547e-07
"256"	1045	39477	"ENSRNOT00000009693.5"	"-"	3.44553693638821e-05	1.52769953272845e-07
"2085.1"	1046	-7266	"ENSRNOT00000009549.2"	"+"	3.56369786846575e-05	1.58143967359399e-07
"1489"	1047	7850	"ENSRNOT00000056558.4"	"-"	3.60225664506571e-05	1.59991460919284e-07
"9861"	1048	-47251	"ENSRNOT00000003628.6"	"-"	3.60816285278783e-05	1.60506755798862e-07
"1185"	1049	52314	"ENSRNOT00000087533.1"	"-"	3.60816285278783e-05	1.6052701807451e-07
"9281"	1050	97645	"ENSRNOT00000083134.1"	"+"	3.62562175736288e-05	1.61441043825743e-07
"2098"	1051	6883	"ENSRNOT00000044262.5"	"-"	3.89840141207873e-05	1.74030152821429e-07
"714"	1052	1546	"ENSRNOT00000000246.7"	"+"	3.90167032361991e-05	1.74323813701591e-07
"2490.1"	1053	39895	"ENSRNOT00000006483.5"	"+"	3.90520976019688e-05	1.74629819234976e-07
"8081"	1054	32665	"ENSRNOT00000072595.1"	"-"	4.01911143894981e-05	1.79875355585221e-07
"78"	1055	-9104	"ENSRNOT00000079833.1"	"+"	4.12265385618278e-05	1.84665496385197e-07
"1587.1"	1056	2532	"ENSRNOT00000085481.1"	"-"	4.2177652318854e-05	1.89245209026559e-07
"108"	1057	-12171	"ENSRNOT00000092160.1"	"-"	4.2944426139716e-05	1.92848219488259e-07
"694"	1058	-49643	"ENSRNOT00000012394.6"	"-"	4.39567352681614e-05	1.97560578403029e-07
"1310"	1059	21001	"ENSRNOT00000013867.4"	"+"	4.51787410401858e-05	2.03565992404687e-07
"1083"	1060	58884	"ENSRNOT00000078552.1"	"-"	4.53267946015628e-05	2.04404715345751e-07
"146.2"	1061	-19377	"ENSRNOT00000001334.6"	"+"	4.57905489850594e-05	2.06669432303106e-07
"1248"	1062	415267	"ENSRNOT00000082636.1"	"-"	4.59566266979185e-05	2.07593010764565e-07
